#,title,acRate,difficulty,freq,likes,dislikes,link
716,Max Stack,43.577247,Easy,57.867075,1042,274,https://leetcode.com/problems/max-stack/
718,Maximum Length of Repeated Subarray,51.000387,Medium,53.747586,2294,57,https://leetcode.com/problems/maximum-length-of-repeated-subarray/
721,Accounts Merge,53.119881,Medium,69.112160,2652,466,https://leetcode.com/problems/accounts-merge/
724,Find Pivot Index,47.432401,Easy,54.917305,1948,324,https://leetcode.com/problems/find-pivot-index/
739,Daily Temperatures,65.369213,Medium,72.276386,4620,135,https://leetcode.com/problems/daily-temperatures/
740,Delete and Earn,51.505552,Medium,78.268994,1719,132,https://leetcode.com/problems/delete-and-earn/
763,Partition Labels,78.240165,Medium,51.178706,4929,202,https://leetcode.com/problems/partition-labels/
767,Reorganize String,50.681286,Medium,71.874298,3164,148,https://leetcode.com/problems/reorganize-string/
863,All Nodes Distance K in Binary Tree,58.801371,Medium,65.918094,4001,79,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree/
938,Range Sum of BST,83.564846,Easy,52.433984,2618,300,https://leetcode.com/problems/range-sum-of-bst/
953,Verifying an Alien Dictionary,52.190251,Easy,92.809774,1883,745,https://leetcode.com/problems/verifying-an-alien-dictionary/
973,K Closest Points to Origin,65.064935,Medium,89.364249,3340,167,https://leetcode.com/problems/k-closest-points-to-origin/
974,Subarray Sums Divisible by K,51.663591,Medium,50.934911,1811,122,https://leetcode.com/problems/subarray-sums-divisible-by-k/
977,Squares of a Sorted Array,71.547644,Easy,50.618951,2673,117,https://leetcode.com/problems/squares-of-a-sorted-array/
981,Time Based Key-Value Store,54.380674,Medium,83.211646,1356,157,https://leetcode.com/problems/time-based-key-value-store/
986,Interval List Intersections,68.944788,Medium,60.137538,2465,66,https://leetcode.com/problems/interval-list-intersections/
994,Rotting Oranges,49.876552,Medium,64.716299,3685,221,https://leetcode.com/problems/rotting-oranges/
1010,Pairs of Songs With Total Durations Divisible by 60,51.220751,Medium,69.648721,1515,88,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60/
1041,Robot Bounded In Circle,54.833889,Medium,100.000000,1419,384,https://leetcode.com/problems/robot-bounded-in-circle/
1048,Longest String Chain,56.299521,Medium,67.302368,2159,116,https://leetcode.com/problems/longest-string-chain/
1086,High Five,76.555088,Easy,66.258744,499,84,https://leetcode.com/problems/high-five/
1091,Shortest Path in Binary Matrix,40.605673,Medium,56.829775,1354,82,https://leetcode.com/problems/shortest-path-in-binary-matrix/
1167,Minimum Cost to Connect Sticks,65.417166,Medium,51.817611,633,134,https://leetcode.com/problems/minimum-cost-to-connect-sticks/
1197,Minimum Knight Moves,38.383920,Medium,75.547767,792,261,https://leetcode.com/problems/minimum-knight-moves/
1209,Remove All Adjacent Duplicates in String II,56.973880,Medium,73.746371,1746,36,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii/
1242,Web Crawler Multithreaded,48.071899,Medium,60.314986,287,57,https://leetcode.com/problems/web-crawler-multithreaded/
1244,Design A Leaderboard,66.891102,Medium,50.930916,287,60,https://leetcode.com/problems/design-a-leaderboard/
1249,Minimum Remove to Make Valid Parentheses,64.494498,Medium,90.641735,2370,50,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses/
1277,Count Square Submatrices with All Ones,73.107836,Medium,51.374555,2199,38,https://leetcode.com/problems/count-square-submatrices-with-all-ones/
1344,Angle Between Hands of a Clock,61.490946,Medium,57.248172,574,132,https://leetcode.com/problems/angle-between-hands-of-a-clock/
1386,Cinema Seat Allocation,37.018193,Medium,50.543472,290,172,https://leetcode.com/problems/cinema-seat-allocation/
1395,Count Number of Teams,72.347189,Medium,50.308753,1181,130,https://leetcode.com/problems/count-number-of-teams/
1396,Design Underground System,71.821500,Medium,86.003301,826,60,https://leetcode.com/problems/design-underground-system/
1428,Leftmost Column with at Least a One,50.210014,Medium,72.425480,611,80,https://leetcode.com/problems/leftmost-column-with-at-least-a-one/
1448,Count Good Nodes in Binary Tree,72.007886,Medium,85.517432,1027,43,https://leetcode.com/problems/count-good-nodes-in-binary-tree/
1465,Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,36.630923,Medium,90.974023,702,178,https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts/
1472,Design Browser History,72.577370,Medium,52.310882,571,69,https://leetcode.com/problems/design-browser-history/
1480,Running Sum of 1d Array,88.852241,Easy,60.278297,1630,146,https://leetcode.com/problems/running-sum-of-1d-array/
1509,Minimum Difference Between Largest and Smallest Value in Three Moves,55.890258,Medium,52.185939,487,61,https://leetcode.com/problems/minimum-difference-between-largest-and-smallest-value-in-three-moves/
1570,Dot Product of Two Sparse Vectors,91.037068,Medium,65.684996,318,46,https://leetcode.com/problems/dot-product-of-two-sparse-vectors/
1578,Minimum Deletion Cost to Avoid Repeating Letters,61.079900,Medium,60.486324,506,23,https://leetcode.com/problems/minimum-deletion-cost-to-avoid-repeating-letters/
1647,Minimum Deletions to Make Character Frequencies Unique,55.822222,Medium,52.515035,550,17,https://leetcode.com/problems/minimum-deletions-to-make-character-frequencies-unique/
1650,Lowest Common Ancestor of a Binary Tree III,76.993184,Medium,55.462720,265,8,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii/
1762,Buildings With an Ocean View,81.386765,Medium,51.757901,170,28,https://leetcode.com/problems/buildings-with-an-ocean-view/
1822,Sign of the Product of an Array,64.572206,Easy,59.424196,186,27,https://leetcode.com/problems/sign-of-the-product-of-an-array/
